"name","referencePath","policyType","category","displayName","description","groupNames","policySets","allowedEffects","prodEffect","nonprodEffect","prodParameters","nonprodParameters"
"a4af4a39-4135-47fb-b175-47fbdf85311d","","BuiltIn","App Service","App Service apps should only be accessible over HTTPS","Use of HTTPS ensures server/service authentication and protects data in transit from network layer eavesdropping attacks.","Azure_Security_Benchmark_v3.0_DP-3,
NIST_SP_800-53_R5_SC-8,
NIST_SP_800-53_R5_SC-8(1)","ASB: Audit (default: webAppEnforceHttpsMonitoringEffectV2),
NIST-800-53: Audit (Policy Default)","parameter:
  Deny,
  Audit,
  Disabled","Audit","Audit","",""
"4d24b6d4-5e53-4a4f-a7f4-618fa573ee4b","","BuiltIn","App Service","App Service apps should require FTPS only","Enable FTPS enforcement for enhanced security.","Azure_Security_Benchmark_v3.0_DP-3,
NIST_SP_800-53_R5_SC-8,
NIST_SP_800-53_R5_SC-8(1)","ASB: AuditIfNotExists (default: fTPSShouldBeRequiredInYourWebAppMonitoringEffect),
NIST-800-53: AuditIfNotExists (Policy Default)","parameter:
  AuditIfNotExists,
  Disabled","AuditIfNotExists","AuditIfNotExists","",""
"8c122334-9d20-4eb8-89ea-ac9a705b74ae","","BuiltIn","App Service","App Service apps should use latest 'HTTP Version'","Periodically, newer versions are released for HTTP either due to security flaws or to include additional functionality. Using the latest HTTP version for web apps to take advantage of security fixes, if any, and/or new functionalities of the newer version.","NIST_SP_800-53_R5_SI-2,
NIST_SP_800-53_R5_SI-2(6)","NIST-800-53: AuditIfNotExists (Policy Default)","override:
  AuditIfNotExists,
  Disabled","AuditIfNotExists","AuditIfNotExists","",""
"2b9ad585-36bc-4615-b300-fd4435808332","","BuiltIn","App Service","App Service apps should use managed identity","Use a managed identity for enhanced authentication security","Azure_Security_Benchmark_v3.0_IM-3,
NIST_SP_800-53_R5_AC-2,
NIST_SP_800-53_R5_AC-3,
NIST_SP_800-53_R5_IA-2,
NIST_SP_800-53_R5_IA-4","ASB: AuditIfNotExists (default: managedIdentityShouldBeUsedInYourWebAppMonitoringEffect),
NIST-800-53: AuditIfNotExists (Policy Default)","parameter:
  AuditIfNotExists,
  Disabled","AuditIfNotExists","AuditIfNotExists","",""
"f0e6e85b-9b9f-4a4b-b67b-f730d42f1b0b","","BuiltIn","App Service","App Service apps should use the latest TLS version","Periodically, newer versions are released for TLS either due to security flaws, include additional functionality, and enhance speed. Upgrade to the latest TLS version for App Service apps to take advantage of security fixes, if any, and/or new functionalities of the latest version.","Azure_Security_Benchmark_v3.0_NS-8,
Azure_Security_Benchmark_v3.0_DP-3,
NIST_SP_800-53_R5_SC-8,
NIST_SP_800-53_R5_SC-8(1)","ASB: AuditIfNotExists (default: latestTLSVersionShouldBeUsedInYourWebAppMonitoringEffect),
NIST-800-53: AuditIfNotExists (Policy Default)","parameter:
  AuditIfNotExists,
  Disabled","AuditIfNotExists","AuditIfNotExists","",""
"fb74e86f-d351-4b8d-b034-93da7391c01f","","BuiltIn","App Service","App Service Environment should have internal encryption enabled","Setting InternalEncryption to true encrypts the pagefile, worker disks, and internal network traffic between the front ends and workers in an App Service Environment. To learn more, refer to https://docs.microsoft.com/azure/app-service/environment/app-service-app-service-environment-custom-settings#enable-internal-encryption.","NIST_SP_800-53_R5_SC-28,
NIST_SP_800-53_R5_SC-28(1)","NIST-800-53: Audit (Policy Default)","override:
  Audit,
  Disabled","Audit","Audit","",""
"0e60b895-3786-45da-8377-9c6b4b6ac5f9","","BuiltIn","App Service","Function apps should have remote debugging turned off","Remote debugging requires inbound ports to be opened on Function apps. Remote debugging should be turned off.","Azure_Security_Benchmark_v3.0_PV-2,
NIST_SP_800-53_R5_AC-17,
NIST_SP_800-53_R5_AC-17(1),
NIST_SP_800-53_R5_CM-6","ASB: AuditIfNotExists (default: functionAppDisableRemoteDebuggingMonitoringEffect),
NIST-800-53: AuditIfNotExists (Policy Default)","parameter:
  AuditIfNotExists,
  Disabled","AuditIfNotExists","AuditIfNotExists","",""
"0820b7b9-23aa-4725-a1ce-ae4558f718e5","","BuiltIn","App Service","Function apps should not have CORS configured to allow every resource to access your apps","Cross-Origin Resource Sharing (CORS) should not allow all domains to access your Function app. Allow only required domains to interact with your Function app.","Azure_Security_Benchmark_v3.0_PV-2,
NIST_SP_800-53_R5_CM-6","ASB: AuditIfNotExists (default: functionAppRestrictCORSAccessMonitoringEffect),
NIST-800-53: AuditIfNotExists (Policy Default)","parameter:
  AuditIfNotExists,
  Disabled","AuditIfNotExists","AuditIfNotExists","",""
"6d555dd1-86f2-4f1c-8ed7-5abae7c6cbab","","BuiltIn","App Service","Function apps should only be accessible over HTTPS","Use of HTTPS ensures server/service authentication and protects data in transit from network layer eavesdropping attacks.","Azure_Security_Benchmark_v3.0_DP-3,
NIST_SP_800-53_R5_SC-8,
NIST_SP_800-53_R5_SC-8(1)","ASB: Audit (default: functionAppEnforceHttpsMonitoringEffectV2),
NIST-800-53: Audit (Policy Default)","parameter:
  Deny,
  Audit,
  Disabled","Audit","Audit","",""
"399b2637-a50f-4f95-96f8-3a145476eb15","","BuiltIn","App Service","Function apps should require FTPS only","Enable FTPS enforcement for enhanced security.","Azure_Security_Benchmark_v3.0_DP-3,
NIST_SP_800-53_R5_SC-8,
NIST_SP_800-53_R5_SC-8(1)","ASB: AuditIfNotExists (default: fTPSOnlyShouldBeRequiredInYourFunctionAppMonitoringEffect),
NIST-800-53: AuditIfNotExists (Policy Default)","parameter:
  AuditIfNotExists,
  Disabled","AuditIfNotExists","AuditIfNotExists","",""
"e2c1c086-2d84-4019-bff3-c44ccd95113c","","BuiltIn","App Service","Function apps should use latest 'HTTP Version'","Periodically, newer versions are released for HTTP either due to security flaws or to include additional functionality. Using the latest HTTP version for web apps to take advantage of security fixes, if any, and/or new functionalities of the newer version.","NIST_SP_800-53_R5_SI-2,
NIST_SP_800-53_R5_SI-2(6)","NIST-800-53: AuditIfNotExists (Policy Default)","override:
  AuditIfNotExists,
  Disabled","AuditIfNotExists","AuditIfNotExists","",""
"0da106f2-4ca3-48e8-bc85-c638fe6aea8f","","BuiltIn","App Service","Function apps should use managed identity","Use a managed identity for enhanced authentication security","Azure_Security_Benchmark_v3.0_IM-3,
NIST_SP_800-53_R5_AC-2,
NIST_SP_800-53_R5_AC-3,
NIST_SP_800-53_R5_IA-2,
NIST_SP_800-53_R5_IA-4","ASB: AuditIfNotExists (default: managedIdentityShouldBeUsedInYourFunctionAppMonitoringEffect),
NIST-800-53: AuditIfNotExists (Policy Default)","parameter:
  AuditIfNotExists,
  Disabled","AuditIfNotExists","AuditIfNotExists","",""
"f9d614c5-c173-4d56-95a7-b4437057d193","","BuiltIn","App Service","Function apps should use the latest TLS version","Periodically, newer versions are released for TLS either due to security flaws, include additional functionality, and enhance speed. Upgrade to the latest TLS version for Function apps to take advantage of security fixes, if any, and/or new functionalities of the latest version.","Azure_Security_Benchmark_v3.0_NS-8,
Azure_Security_Benchmark_v3.0_DP-3,
NIST_SP_800-53_R5_SC-8,
NIST_SP_800-53_R5_SC-8(1)","ASB: AuditIfNotExists (default: latestTLSVersionShouldBeUsedInYourFunctionAppMonitoringEffect),
NIST-800-53: AuditIfNotExists (Policy Default)","parameter:
  AuditIfNotExists,
  Disabled","AuditIfNotExists","AuditIfNotExists","",""
"3657f5a0-770e-44a3-b44e-9431ba1e9735","","BuiltIn","Automation","Automation account variables should be encrypted","It is important to enable encryption of Automation account variable assets when storing sensitive data","Azure_Security_Benchmark_v3.0_DP-4,
NIST_SP_800-53_R5_SC-28,
NIST_SP_800-53_R5_SC-28(1)","ASB: Audit (default: encryptionOfAutomationAccountMonitoringEffect),
NIST-800-53: Audit (default: effect-3657f5a0-770e-44a3-b44e-9431ba1e9735)","parameter:
  Deny,
  Audit,
  Disabled","Audit","Audit","",""
"56a5ee18-2ae6-4810-86f7-18e39ce5629b","","BuiltIn","Automation","Azure Automation accounts should use customer-managed keys to encrypt data at rest","Use customer-managed keys to manage the encryption at rest of your Azure Automation Accounts. By default, customer data is encrypted with service-managed keys, but customer-managed keys are commonly required to meet regulatory compliance standards. Customer-managed keys enable the data to be encrypted with an Azure Key Vault key created and owned by you. You have full control and responsibility for the key lifecycle, including rotation and management. Learn more at https://aka.ms/automation-cmk.","NIST_SP_800-53_R5_SC-12","NIST-800-53: Audit (default: effect-56a5ee18-2ae6-4810-86f7-18e39ce5629b)","parameter:
  Deny,
  Audit,
  Disabled","Audit","Audit","",""
"71ef260a-8f18-47b7-abcb-62d0673d94dc","","BuiltIn","Azure Ai Services","Azure AI Services resources should have key access disabled (disable local authentication)","Key access (local authentication) is recommended to be disabled for security. Azure OpenAI Studio, typically used in development/testing, requires key access and will not function if key access is disabled. After disabling, Microsoft Entra ID becomes the only access method, which allows maintaining minimum privilege principle and granular control. Learn more at: https://aka.ms/AI/auth","Azure_Security_Benchmark_v3.0_IM-1,
NIST_SP_800-53_R5_AC-2,
NIST_SP_800-53_R5_AC-2(1),
NIST_SP_800-53_R5_AC-2(7),
NIST_SP_800-53_R5_AC-3,
NIST_SP_800-53_R5_IA-2,
NIST_SP_800-53_R5_IA-4","ASB: Audit (Policy Default),
NIST-800-53: Audit (default: effect-71ef260a-8f18-47b7-abcb-62d0673d94dc)","parameter:
  Deny,
  Audit,
  Disabled","Audit","Audit","",""
"037eea7a-bd0a-46c5-9a66-03aea78705d3","","BuiltIn","Azure Ai Services","Azure AI Services resources should restrict network access","By restricting network access, you can ensure that only allowed networks can access the service. This can be achieved by configuring network rules so that only applications from allowed networks can access the Azure AI service.","Azure_Security_Benchmark_v3.0_NS-2,
NIST_SP_800-53_R5_AC-4,
NIST_SP_800-53_R5_SC-7,
NIST_SP_800-53_R5_SC-7(3)","ASB: Audit (default: cognitiveServicesAccountsShouldRestrictNetworkAccessMonitoringEffect),
NIST-800-53: Audit (default: effect-037eea7a-bd0a-46c5-9a66-03aea78705d3)","parameter:
  Deny,
  Audit,
  Disabled","Audit","Audit","",""
"81e74cea-30fd-40d5-802f-d72103c2aaaa","","BuiltIn","Azure Data Explorer","Azure Data Explorer encryption at rest should use a customer-managed key","Enabling encryption at rest using a customer-managed key on your Azure Data Explorer cluster provides additional control over the key being used by the encryption at rest. This feature is oftentimes applicable to customers with special compliance requirements and requires a Key Vault to managing the keys.","NIST_SP_800-53_R5_SC-12","NIST-800-53: Audit (default: effect-81e74cea-30fd-40d5-802f-d72103c2aaaa)","parameter:
  Deny,
  Audit,
  Disabled","Audit","Audit","",""
"f4b53539-8df9-40e4-86c6-6b607703bd4e","","BuiltIn","Azure Data Explorer","Disk encryption should be enabled on Azure Data Explorer","Enabling disk encryption helps protect and safeguard your data to meet your organizational security and compliance commitments.","NIST_SP_800-53_R5_SC-28,
NIST_SP_800-53_R5_SC-28(1)","NIST-800-53: Audit (default: effect-f4b53539-8df9-40e4-86c6-6b607703bd4e)","parameter:
  Deny,
  Audit,
  Disabled","Audit","Audit","",""
"ec068d99-e9c7-401f-8cef-5bdde4e6ccf1","","BuiltIn","Azure Data Explorer","Double encryption should be enabled on Azure Data Explorer","Enabling double encryption helps protect and safeguard your data to meet your organizational security and compliance commitments. When double encryption has been enabled, data in the storage account is encrypted twice, once at the service level and once at the infrastructure level, using two different encryption algorithms and two different keys.","NIST_SP_800-53_R5_SC-28,
NIST_SP_800-53_R5_SC-28(1)","NIST-800-53: Audit (default: effect-ec068d99-e9c7-401f-8cef-5bdde4e6ccf1)","parameter:
  Deny,
  Audit,
  Disabled","Audit","Audit","",""
"51c1490f-3319-459c-bbbc-7f391bbed753","","BuiltIn","Azure Databricks","Azure Databricks Clusters should disable public IP","Disabling public IP of clusters in Azure Databricks Workspaces improves security by ensuring that the clusters aren't exposed on the public internet. Learn more at: https://learn.microsoft.com/azure/databricks/security/secure-cluster-connectivity.","Azure_Security_Benchmark_v3.0_NS-2","ASB: Audit (Policy Default)","override:
  Deny,
  Audit,
  Disabled","Audit","Audit","",""
"9c25c9e4-ee12-4882-afd2-11fb9d87893f","","BuiltIn","Azure Databricks","Azure Databricks Workspaces should be in a virtual network","Azure Virtual Networks provide enhanced security and isolation for your Azure Databricks Workspaces, as well as subnets, access control policies, and other features to further restrict access. Learn more at: https://docs.microsoft.com/azure/databricks/administration-guide/cloud-configurations/azure/vnet-inject.","Azure_Security_Benchmark_v3.0_NS-2","ASB: Audit (Policy Default)","override:
  Deny,
  Audit,
  Disabled","Audit","Audit","",""
"0e7849de-b939-4c50-ab48-fc6b0f5eeba2","","BuiltIn","Azure Databricks","Azure Databricks Workspaces should disable public network access","Disabling public network access improves security by ensuring that the resource isn't exposed on the public internet. You can control exposure of your resources by creating private endpoints instead. Learn more at: https://learn.microsoft.com/azure/databricks/administration-guide/cloud-configurations/azure/private-link. ","Azure_Security_Benchmark_v3.0_NS-2","ASB: Audit (Policy Default)","override:
  Deny,
  Audit,
  Disabled","Audit","Audit","",""
"258823f2-4595-4b52-b333-cc96192710d8","","BuiltIn","Azure Databricks","Azure Databricks Workspaces should use private link","Azure Private Link lets you connect your virtual networks to Azure services without a public IP address at the source or destination. The Private Link platform handles the connectivity between the consumer and services over the Azure backbone network. By mapping private endpoints to Azure Databricks workspaces, you can reduce data leakage risks. Learn more about private links at: https://aka.ms/adbpe.","Azure_Security_Benchmark_v3.0_NS-2","ASB: Audit (Policy Default)","override:
  Audit,
  Disabled","Audit","Audit","",""
"138ff14d-b687-4faa-a81c-898c91a87fa2","","BuiltIn","Azure Databricks","Resource logs in Azure Databricks Workspaces should be enabled","Resource logs enable recreating activity trails to use for investigation purposes when a security incident occurs or when your network is compromised.","Azure_Security_Benchmark_v3.0_LT-3","ASB: AuditIfNotExists (Policy Default)","override:
  AuditIfNotExists,
  Disabled","AuditIfNotExists","AuditIfNotExists","",""
"b4ac1030-89c5-4697-8e00-28b5ba6a8811","","BuiltIn","Azure Stack Edge","Azure Stack Edge devices should use double-encryption","To secure the data at rest on the device, ensure it's double-encrypted, the access to data is controlled, and once the device is deactivated, the data is securely erased off the data disks. Double encryption is the use of two layers of encryption: BitLocker XTS-AES 256-bit encryption on the data volumes and built-in encryption of the hard drives. Learn more in the security overview documentation for the specific Stack Edge device.","NIST_SP_800-53_R5_SC-28,
NIST_SP_800-53_R5_SC-28(1)","NIST-800-53: audit (default: effect-b4ac1030-89c5-4697-8e00-28b5ba6a8811)","parameter:
  Deny,
  Audit,
  Disabled","Audit","Audit","",""
"bd876905-5b84-4f73-ab2d-2e7a7c4568d9","","BuiltIn","Azure Update Manager","Machines should be configured to periodically check for missing system updates","To ensure periodic assessments for missing system updates are triggered automatically every 24 hours, the AssessmentMode property should be set to 'AutomaticByPlatform'. Learn more about AssessmentMode property for Windows: https://aka.ms/computevm-windowspatchassessmentmode, for Linux: https://aka.ms/computevm-linuxpatchassessmentmode.","Azure_Security_Benchmark_v3.0_PV-6","ASB: Audit (default: systemUpdatesAutoAssessmentModeEffect)","parameter:
  Audit,
  Disabled","Audit","Audit","",""
"2e94d99a-8a36-4563-bc77-810d8893b671","","BuiltIn","Backup","[Preview]: Azure Recovery Services vaults should use customer-managed keys for encrypting backup data","Use customer-managed keys to manage the encryption at rest of your backup data. By default, customer data is encrypted with service-managed keys, but customer-managed keys are commonly required to meet regulatory compliance standards. Customer-managed keys enable the data to be encrypted with an Azure Key Vault key created and owned by you. You have full control and responsibility for the key lifecycle, including rotation and management. Learn more at https://aka.ms/AB-CmkEncryption.","NIST_SP_800-53_R5_SC-12","NIST-800-53: Audit (default: effect-2e94d99a-8a36-4563-bc77-810d8893b671)","parameter:
  Deny,
  Audit,
  Disabled","Audit","Audit","{""enableDoubleEncryption-2e94d99a-8a36-4563-bc77-810d8893b671"":true}","{""enableDoubleEncryption-2e94d99a-8a36-4563-bc77-810d8893b671"":true}"
"013e242c-8828-4970-87b3-ab247555486d","","BuiltIn","Backup","Azure Backup should be enabled for Virtual Machines","Ensure protection of your Azure Virtual Machines by enabling Azure Backup. Azure Backup is a secure and cost effective data protection solution for Azure.","Azure_Security_Benchmark_v3.0_BR-1,
Azure_Security_Benchmark_v3.0_BR-2,
NIST_SP_800-53_R5_CP-9","ASB: AuditIfNotExists (default: azureBackupShouldBeEnabledForVirtualMachinesMonitoringEffect),
NIST-800-53: AuditIfNotExists (Policy Default)","parameter:
  AuditIfNotExists,
  Disabled","AuditIfNotExists","AuditIfNotExists","",""
"99e9ccd8-3db9-4592-b0d1-14b1715a4d8a","","BuiltIn","Batch","Azure Batch account should use customer-managed keys to encrypt data","Use customer-managed keys to manage the encryption at rest of your Batch account's data. By default, customer data is encrypted with service-managed keys, but customer-managed keys are commonly required to meet regulatory compliance standards. Customer-managed keys enable the data to be encrypted with an Azure Key Vault key created and owned by you. You have full control and responsibility for the key lifecycle, including rotation and management. Learn more at https://aka.ms/Batch-CMK.","NIST_SP_800-53_R5_SC-12","NIST-800-53: Audit (default: effect-99e9ccd8-3db9-4592-b0d1-14b1715a4d8a)","parameter:
  Deny,
  Audit,
  Disabled","Audit","Audit","",""
